song,performer,track_duration_s,danceability,valence,date,rank,peak_rank,weeks_on_board,key_sign,energy,loudness,speechiness,acousticness,instrumentalness,liveness
Cradle Of Love,Johnny Preston,140.32,0.477,0.868,20190620,32,7,13,F# minor,0.506,-11.669,0.0696,0.683,2.15e-05,0.0538
Cranes In The Sky,Solange,250.973,0.719,0.465,20201029,99,74,2,F# major,0.615,-5.972,0.045,0.408,0.000147,0.235
Crash (Have Some Fun),TKA Featuring Michelle Visage,257.493,0.752,0.596,20191229,82,80,5,F minor,0.847,-10.141,0.0616,0.0221,0.00511,0.0793
Crash And Burn,Savage Garden,281.466,0.581,0.213,20200812,73,24,19,E major,0.607,-8.458,0.028,0.189,1.6e-06,0.0882
Crash And Burn,Savage Garden,281.466,0.581,0.213,20200812,73,24,19,E major,0.789,-5.161,0.0315,0.0768,1.19e-06,0.178
Crash Here Tonight,Toby Keith,180.88,0.45,0.243,20201118,96,96,1,E minor,0.443,-7.828,0.0263,0.275,0.00644,0.287
Crash My Party,Luke Bryan,234.76,0.526,0.435,20200720,28,18,13,G major,0.823,-4.03,0.0431,0.0309,0.0,0.246
Crash,Gwen Stefani,246.613,0.789,0.917,20200218,74,74,2,A major,0.933,-1.606,0.0425,0.0202,0.0,0.865
Craving You,Thomas Rhett Featuring Maren Morris,223.626,0.613,0.526,20200527,70,53,6,A minor,0.839,-3.799,0.0352,0.000854,0.0,0.341
Crawl,Chris Brown,236.253,0.41,0.417,20201212,68,68,1,F minor,0.743,-6.356,0.0591,0.0416,0.0,0.113
Crawling Back To You,Daughtry,225.813,0.438,0.195,20201224,94,41,9,C minor,0.919,-2.91,0.0495,0.00674,0.0,0.158
Crawling Back,Roy Orbison,234.226,0.239,0.0502,20191204,48,48,5,D major,0.239,-12.671,0.03,0.8,0.323,0.0792
Crawling In The Dark,Hoobastank,175.226,0.57,0.676,20200406,68,68,6,F# minor,0.915,-4.802,0.105,0.000273,8.48e-05,0.178
Crawling,Linkin Park,208.96,0.58,0.299,20201103,90,79,13,E major,0.702,-5.565,0.0337,0.0466,3.2e-06,0.536
Crazay,Jesse Johnson (Featuring Sly Stone),241.893,0.787,0.541,20191129,63,63,6,C# major,0.912,-10.783,0.0621,0.0677,0.000314,0.131
Crazier,Taylor Swift,191.946,0.452,0.158,20200523,66,17,7,E major,0.544,-5.423,0.0277,0.0631,5.33e-06,0.104
Craziest,Naughty By Nature,248.16,0.868,0.595,20190527,64,51,7,E minor,0.867,-5.976,0.28,0.267,1.08e-05,0.228
Crazy About Her,Rod Stewart,299.093,0.74,0.755,20190826,65,11,16,G minor,0.628,-14.553,0.0401,0.0507,7.63e-05,0.297
Crazy About The La La La,Smokey Robinson & The Miracles,179.506,0.536,0.916,20190703,77,77,1,F major,0.687,-9.828,0.0812,0.0829,0.0,0.32
Crazy Bitch,Buckcherry,204.96,0.661,0.592,20200826,69,59,15,C# minor,0.978,-3.064,0.107,0.0247,0.0,0.0856
Crazy Cool,Paula Abdul,282.426,0.642,0.569,20191028,91,58,8,C# minor,0.834,-5.967,0.111,0.0375,3.55e-06,0.12
Crazy Country Hop,Johnny Otis,162.626,0.788,0.605,20191208,96,87,4,F major,0.785,-9.406,0.0491,0.337,4.95e-05,0.35
Crazy Crazy Nights,KISS,227.6,0.591,0.74,20191031,65,65,6,G major,0.869,-6.383,0.0655,0.41,0.0,0.718
Crazy Downtown,Allan Sherman,177.226,0.606,0.815,20190410,54,54,3,A major,0.637,-8.741,0.24,0.743,0.0,0.659
Crazy Feelin',Jefferson Starship,218.106,0.504,0.502,20190923,64,64,3,F# minor,0.594,-11.258,0.0506,0.132,0.000765,0.121
Crazy For This Girl,Evan And Jaron,202.026,0.457,0.41,20200106,21,21,10,C major,0.926,-5.461,0.038,0.000487,5.69e-05,0.0949
Crazy For You,Madonna,224.32,0.662,0.511,20190518,2,1,12,A major,0.719,-6.606,0.0298,0.107,0.0,0.102
Crazy Girl,Eli Young Band,200.706,0.358,0.227,20200604,81,59,11,E major,0.708,-3.736,0.0315,0.0006,0.00498,0.281
Crazy Horses,The Osmonds,153.173,0.509,0.8,20191223,23,14,10,D major,0.974,-4.493,0.0686,0.214,1.31e-06,0.339
Crazy In Love,Beyonce Featuring Jay Z,236.133,0.646,0.681,20200621,7,7,5,D minor,0.77,-6.596,0.226,0.00249,0.0,0.0715
Crazy In The Night (Barking At Airplanes),Kim Carnes,217.24,0.679,0.836,20190706,17,17,9,F major,0.717,-10.528,0.0358,0.386,0.0,0.0607
Crazy Little Thing Called Love,Dwight Yoakam,141.493,0.464,0.881,20190821,100,64,10,F major,0.81,-3.845,0.0724,0.0763,0.0,0.0574
Crazy Little Thing Called Love,Dwight Yoakam,141.493,0.464,0.881,20190821,100,64,10,F major,0.781,-6.756,0.0516,0.679,0.0,0.272
Crazy Love,CeCe Peniston,288.6,0.625,0.639,20191226,97,97,1,C major,0.66,-12.097,0.0455,0.00473,2.32e-05,0.102
Crazy Love,CeCe Peniston,288.6,0.625,0.639,20191226,97,97,1,C major,0.348,-11.165,0.0361,0.833,0.0,0.0837
Crazy Love,CeCe Peniston,288.6,0.625,0.639,20191226,97,97,1,C major,0.262,-19.256,0.0329,0.207,0.0,0.154
Crazy Love,CeCe Peniston,288.6,0.625,0.639,20191226,97,97,1,C major,0.883,-9.312,0.0563,0.29,0.000397,0.408
Crazy Mama,J.J. Cale,142.866,0.818,0.505,20190325,26,26,9,B major,0.0839,-19.288,0.0425,0.71,0.128,0.0907
Crazy On You,Heart,293.44,0.427,0.383,20190710,76,35,13,A minor,0.459,-12.442,0.0332,0.116,0.000103,0.132
Crazy Talk,Chilliwack,187.2,0.854,0.941,20190201,98,98,6,A minor,0.435,-7.454,0.0335,0.365,0.000385,0.096
Crazy Town,Jason Aldean,183.44,0.43,0.489,20200529,77,76,5,F# major,0.841,-2.99,0.037,0.13,0.0,0.0517
Crazy World,Big Trouble,220.466,0.667,0.674,20191017,90,90,1,D major,0.815,-6.706,0.0609,0.102,6.19e-05,0.078
Crazy,Aerosmith,316.693,0.37,0.427,20190910,30,17,17,F# minor,0.866,-3.879,0.0384,0.0868,0.0,0.137
Crazy,Aerosmith,316.693,0.37,0.427,20190910,30,17,17,F# minor,0.96,-7.475,0.0561,0.000815,0.00229,0.033
Crazy,Aerosmith,316.693,0.37,0.427,20190910,30,17,17,F# minor,0.741,-1.609,0.0339,0.0172,0.0577,0.0826
Crazy,Aerosmith,316.693,0.37,0.427,20190910,30,17,17,F# minor,0.952,-3.452,0.113,0.0209,0.0114,0.311
Crazy,Aerosmith,316.693,0.37,0.427,20190910,30,17,17,F# minor,0.787,-4.835,0.0277,0.00229,1.33e-06,0.0829
Crazy,Aerosmith,316.693,0.37,0.427,20190910,30,17,17,F# minor,0.664,-4.422,0.0264,0.092,0.0,0.595
Crazy,Aerosmith,316.693,0.37,0.427,20190910,30,17,17,F# minor,0.186,-16.281,0.031,0.727,5.49e-06,0.0783
Crazy,Aerosmith,316.693,0.37,0.427,20190910,30,17,17,F# minor,0.021,-24.385,0.0366,0.931,1.19e-06,0.103
Crazy,Aerosmith,316.693,0.37,0.427,20190910,30,17,17,F# minor,0.858,-7.42,0.0473,0.208,0.0114,0.0655
Crazy,Aerosmith,316.693,0.37,0.427,20190910,30,17,17,F# minor,0.89,-6.387,0.0476,0.0272,2.15e-05,0.0406
Crazy,Aerosmith,316.693,0.37,0.427,20190910,30,17,17,F# minor,0.487,-12.124,0.064,0.0776,6.66e-05,0.342
Creep,Radiohead,238.64,0.515,0.104,20190703,76,76,2,G major,0.43,-9.935,0.0369,0.0102,0.000141,0.129
Creep,Radiohead,238.64,0.515,0.104,20190703,76,76,2,G major,0.458,-9.688,0.0402,0.0193,1.41e-06,0.0526
Creepin',Eric Church,232.72,0.464,0.539,20200929,80,80,4,F major,0.889,-5.042,0.0497,0.0389,0.0272,0.31
Creeque Alley,The Mamas & The Papas,228.68,0.581,0.804,20190520,13,13,4,B major,0.748,-6.052,0.0485,0.725,0.0,0.0766
Crew Love,Drake Featuring The Weeknd,208.813,0.418,0.294,20200602,82,82,9,C minor,0.546,-9.057,0.238,0.227,0.0,0.229
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,176.702,0.728,0.445,20200722,98,94,2,C# minor,0.607,-8.417,0.132,0.133,0.0,0.0864
Cried Like A Baby,Bobby Sherman,196.672,0.432,0.683,20190227,32,32,3,C# major,0.551,-9.839,0.0474,0.666,0.000193,0.56
Criminal,Britney Spears,225.08,0.696,0.711,20201105,66,66,2,G major,0.734,-5.294,0.0298,0.0485,0.0,0.183
Criminal,Britney Spears,225.08,0.696,0.711,20201105,66,66,2,G major,0.804,-7.911,0.0326,0.0129,1.97e-05,0.299
Crimson And Clover,Joan Jett & the Blackhearts,197.493,0.181,0.607,20190612,8,8,7,C major,0.772,-5.201,0.0385,0.0601,0.00045,0.072
Crimson And Clover,Joan Jett & the Blackhearts,197.493,0.181,0.607,20190612,8,8,7,C major,0.56,-10.408,0.0383,0.00265,0.333,0.0817
Crimson And Clover,Joan Jett & the Blackhearts,197.493,0.181,0.607,20190612,8,8,7,C major,0.59,-12.277,0.0701,0.255,0.0325,0.177
Criticize,Alexander O'Neal,247.4,0.659,0.74,20190109,75,70,9,B minor,0.759,-12.455,0.0436,0.0792,1.09e-06,0.0564
Crocodile Rock,Elton John,235.44,0.626,0.968,20191209,73,73,1,E minor,0.803,-7.214,0.0358,0.0326,1.35e-05,0.0596
Crooked Smile,J. Cole Featuring TLC,278.573,0.607,0.482,20201116,46,27,20,G major,0.784,-6.293,0.268,0.433,0.0,0.689
Cross Fire!,The Orlons,174.84,0.5,0.786,20190928,82,82,1,G# minor,0.735,-9.537,0.0467,0.427,0.000857,0.359
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,206.186,0.746,0.607,20200720,41,34,7,E major,0.787,-6.373,0.12,0.214,0.0,0.0669
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,206.186,0.746,0.607,20200720,41,34,7,E major,0.787,-6.373,0.12,0.214,0.0,0.0669
Cross My Heart,Billy Stewart,183.906,0.549,0.508,20190127,86,86,9,D major,0.57,-8.809,0.0316,0.774,0.000669,0.189
Cross My Heart,Billy Stewart,183.906,0.549,0.508,20190127,86,86,9,D major,0.466,-9.783,0.0419,0.683,0.0,0.234
Cross My Heart,Billy Stewart,183.906,0.549,0.508,20190127,86,86,9,D major,0.878,-10.692,0.0399,0.162,0.0265,0.112
Cross My Heart,Billy Stewart,183.906,0.549,0.508,20190127,86,86,9,D major,0.438,-12.563,0.0359,0.0231,0.000362,0.0537
Cross Roads,YoungBoy Never Broke Again,168.045,0.714,0.439,20200926,76,76,1,C major,0.722,-5.685,0.0538,0.0735,0.0,0.114
Cross The Border,Philly's Most Wanted,255.724,0.684,0.786,20200317,98,98,3,G# major,0.839,-2.59,0.26,0.294,1.11e-06,0.0813
Crossfire Time,Dee Clark,115.826,0.587,0.485,20191123,97,97,2,C major,0.823,-6.204,0.185,0.0577,1.02e-06,0.29
Crossfire,Johnny And The Hurricanes,142.892,0.568,0.407,20190427,88,88,1,C major,0.799,-8.562,0.046,0.895,0.944,0.108
Crossover,EPMD,228.76,0.815,0.644,20190725,82,82,1,A# minor,0.627,-10.438,0.275,0.0301,0.000144,0.148
Crossroads,Cream,258.466,0.399,0.839,20190215,32,32,4,G major,0.687,-12.733,0.0568,0.455,0.027,0.815
Crossroads,Cream,258.466,0.399,0.839,20190215,32,32,4,G major,0.255,-14.733,0.0399,0.777,0.00959,0.101
Crowded,Jeannie Ortega Featuring Papoose,187.4,0.812,0.557,20200715,93,93,4,C# major,0.829,-1.734,0.277,0.192,5.49e-06,0.105
Crown Of Creation,Jefferson Airplane,174.333,0.396,0.503,20191123,71,71,4,B minor,0.546,-10.234,0.0364,0.34,0.00744,0.162
Cruel Shoes,Steve Martin,137.373,0.562,0.556,20191208,92,92,3,G minor,0.38,-15.932,0.693,0.865,0.0,0.366
Cruel Summer,Ace Of Base,215.36,0.721,0.882,20190801,15,15,3,C# minor,0.842,-1.97,0.0279,0.013,0.00187,0.076
Cruel Summer,Ace Of Base,215.36,0.721,0.882,20190801,15,15,3,C# minor,0.828,-8.796,0.0266,0.343,0.0154,0.271
Cruel Summer,Ace Of Base,215.36,0.721,0.882,20190801,15,15,3,C# minor,0.702,-5.707,0.157,0.117,2.06e-05,0.105
Cruel To Be Kind,Nick Lowe,210.131,0.694,0.803,20190915,21,21,8,C major,0.656,-10.598,0.026,0.0586,1.81e-06,0.0505
Cruise,Florida Georgia Line Featuring Nelly,208.96,0.457,0.878,20200420,8,8,27,A# major,0.948,-3.364,0.0354,0.0191,0.0,0.0536
Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan",195.733,0.585,0.781,20200817,89,82,2,B major,0.911,-4.623,0.119,0.0263,0.0,0.112
Cruisin',D'Angelo,384.666,0.407,0.329,20191125,63,63,4,B minor,0.525,-12.725,0.166,0.381,0.000452,0.0816
Cruisin',D'Angelo,384.666,0.407,0.329,20191125,63,63,4,B minor,0.637,-5.784,0.0279,0.405,0.0,0.357
Cruising For Bruising,Basia,249.826,0.782,0.978,20190505,41,41,5,F minor,0.522,-14.896,0.0357,0.0907,0.00224,0.032
Crumblin' Down,John Cougar Mellencamp,214.133,0.782,0.668,20191217,14,9,10,G major,0.905,-3.56,0.0789,0.0165,1.37e-06,0.0796
Crush A Lot,Lil Baby,159.754,0.92,0.403,20201215,82,82,1,F minor,0.458,-5.643,0.315,0.0171,0.0,0.107
Crush On You,The Jets,272.493,0.777,0.967,20190419,63,63,2,C# major,0.834,-10.851,0.0574,0.0209,0.0976,0.0446
Crush Tonight,Fat Joe Featuring Ginuwine,317.0,0.598,0.87,20201130,97,77,7,D# minor,0.711,-5.373,0.434,0.266,0.0,0.599
Crush,Dave Matthews Band,489.333,0.564,0.672,20190417,95,75,10,C major,0.745,-6.933,0.0411,0.262,2.78e-05,0.108
Crush,Dave Matthews Band,489.333,0.564,0.672,20190417,95,75,10,C major,0.664,-4.718,0.0322,0.00836,1.2e-05,0.0719
Crush,Dave Matthews Band,489.333,0.564,0.672,20190417,95,75,10,C major,0.707,-5.568,0.0298,0.0305,0.0,0.089
crushcrushcrush,Paramore,189.373,0.631,0.648,20200112,54,54,3,C# minor,0.793,-4.086,0.0468,0.000218,5.65e-05,0.0976
Crushed Up,Future,149.948,0.781,0.544,20200119,46,46,1,A# minor,0.597,-6.794,0.23,0.0415,0.0,0.152
Crushin' It,Brad Paisley,220.146,0.595,0.745,20200530,100,96,3,D major,0.823,-5.864,0.0483,0.0385,1.35e-06,0.0984
Cry Baby Cry,The Angels,170.2,0.319,0.472,20190414,46,38,9,G major,0.313,-12.775,0.0281,0.827,0.000126,0.37
Cry Baby,Garnet Mimms & The Enchanters,206.226,0.48,0.668,20191005,5,5,8,A# major,0.405,-10.528,0.0372,0.497,0.0,0.196
Cry Baby,Garnet Mimms & The Enchanters,206.226,0.48,0.668,20191005,5,5,8,A# major,0.418,-9.654,0.03,0.515,0.000342,0.0535
Cry Cry Cry,Bobby Bland,164.8,0.476,0.284,20191128,71,71,4,F major,0.436,-6.978,0.0393,0.612,2.74e-06,0.133
Cry Cry Cry,Bobby Bland,164.8,0.476,0.284,20191128,71,71,4,F major,0.599,-15.482,0.0368,0.279,0.851,0.0947
Cry For Help,Rick Astley,245.64,0.564,0.462,20190615,58,7,18,C major,0.628,-6.933,0.0221,0.522,0.0,0.0891
Cry For You,Jodeci,300.906,0.651,0.581,20191225,23,23,5,F minor,0.498,-12.159,0.0339,0.328,0.0,0.309
Cry For You,Jodeci,300.906,0.651,0.581,20191225,23,23,5,F minor,0.878,-3.377,0.0304,0.00141,0.000204,0.0574
Cry Just A Little,Paul Davis,240.173,0.561,0.541,20190726,79,79,2,A# major,0.548,-6.912,0.0248,0.185,1.82e-05,0.059
Cry Myself To Sleep,Del Shannon,142.106,0.466,0.582,20190630,99,99,1,G# major,0.638,-4.911,0.0299,0.0449,0.0,0.0841
Cry Pretty,Carrie Underwood,247.32,0.374,0.21,20200811,81,48,8,F# major,0.742,-3.36,0.0432,0.00517,0.0,0.11
Cry Softly Lonely One,Roy Orbison,174.013,0.486,0.49,20190812,52,52,3,C major,0.352,-11.418,0.0272,0.909,0.00779,0.105
Cry To Me,Betty Harris,196.586,0.442,0.34,20191019,45,45,5,A major,0.395,-9.213,0.0441,0.311,2.02e-05,0.148
Cry To Me,Betty Harris,196.586,0.442,0.34,20191019,45,45,5,A major,0.221,-12.462,0.0522,0.77,1.4e-05,0.14
Cry To Me,Betty Harris,196.586,0.442,0.34,20191019,45,45,5,A major,0.605,-7.097,0.0363,0.283,1.35e-05,0.467
Cry To Me,Betty Harris,196.586,0.442,0.34,20191019,45,45,5,A major,0.624,-9.849,0.0374,0.623,0.0,0.407
Cry Wolf,a-ha,246.586,0.652,0.776,20190307,53,53,7,A minor,0.772,-7.451,0.0349,0.104,0.668,0.0745
Cry,Cassadee Pope,208.32,0.538,0.296,20200105,60,60,1,A major,0.707,-3.869,0.0307,0.015,0.0,0.15
Cry,Cassadee Pope,208.32,0.538,0.296,20200105,60,60,1,A major,0.645,-5.631,0.029,0.141,0.0,0.0987
Cry,Cassadee Pope,208.32,0.538,0.296,20200105,60,60,1,A major,0.754,-7.392,0.034,0.0833,1.08e-05,0.368
Cry,Cassadee Pope,208.32,0.538,0.296,20200105,60,60,1,A major,0.304,-10.066,0.0279,0.651,6.98e-06,0.333
Cry,Cassadee Pope,208.32,0.538,0.296,20200105,60,60,1,A major,0.355,-12.827,0.0434,0.802,0.000187,0.254
Crybaby,Mariah Carey Featuring Snoop Dogg,319.106,0.583,0.624,20200624,28,28,1,D minor,0.578,-5.183,0.0499,0.217,0.0,0.106
Cryin' For Me (Wayman's Song),Toby Keith,285.506,0.51,0.261,20200206,86,85,7,G# minor,0.398,-7.685,0.0284,0.362,0.00139,0.112
Cryin' Like A Bitch!,Godsmack,201.666,0.543,0.472,20200327,91,74,2,A# major,0.808,-5.484,0.0407,7.19e-05,0.00336,0.114
Cryin',Aerosmith,308.333,0.445,0.486,20191023,14,12,13,A major,0.856,-3.674,0.0327,0.000202,0.0101,0.367
Cryin',Aerosmith,308.333,0.445,0.486,20191023,14,12,13,A major,0.567,-12.871,0.0261,0.146,2e-05,0.0554
Crying In The Club,Camila Cabello,216.391,0.334,0.603,20200610,47,47,1,F# minor,0.617,-5.834,0.383,0.334,0.0,0.163
Crying In The Rain,The Everly Brothers,120.306,0.61,0.48,20190127,42,42,3,D major,0.378,-9.381,0.0279,0.622,0.0,0.144
Crying On A Suitcase,Casey James,221.386,0.402,0.496,20200216,88,88,7,E major,0.7,-4.613,0.0348,0.147,0.0,0.0992
Crying Out For Me,Mario,288.386,0.509,0.505,20200112,88,75,5,C# major,0.72,-6.935,0.0682,0.196,0.0,0.284
Crying,Don McLean,223.0,0.328,0.227,20190228,11,11,6,C# major,0.391,-11.382,0.0289,0.527,3.76e-05,0.0671
Crying,Don McLean,223.0,0.328,0.227,20190228,11,11,6,C# major,0.318,-12.706,0.0341,0.666,0.00113,0.18
Crying,Don McLean,223.0,0.328,0.227,20190228,11,11,6,C# major,0.293,-9.502,0.0258,0.758,8.21e-06,0.104
Crystal Blue Persuasion,Tommy James And The Shondells,246.6,0.603,0.817,20190705,7,7,5,A major,0.313,-12.921,0.0363,0.248,4.53e-05,0.184
Crystal Chandelier,Vic Dana,176.613,0.607,0.637,20190115,62,51,7,E major,0.417,-11.199,0.036,0.802,0.0,0.243
CRZY,Kehlani,191.72,0.827,0.694,20201015,95,95,1,F# major,0.702,-7.264,0.267,0.226,5.04e-05,0.158
Cuando Me Enamoro,Enrique Iglesias Featuring Juan Luis Guerra,200.346,0.822,0.902,20200814,100,89,5,C# major,0.799,-3.612,0.0278,0.0142,2.71e-05,0.167
Cuba,The Gibson Brothers,439.025,0.679,0.961,20190714,81,81,4,D# minor,0.896,-9.142,0.0413,0.563,0.339,0.0565
Cuban Links,Rod Wave & Kevin Gates,192.182,0.693,0.77,20201214,92,92,2,F major,0.652,-8.766,0.299,0.25,0.0,0.0294
Cuddle My Wrist,Future,181.894,0.903,0.203,20200721,71,71,1,B minor,0.503,-9.188,0.335,0.0744,2.09e-05,0.125
Cuddy Buddy,Mike Jones Featuring Trey Songz & Twista,278.026,0.463,0.69,20201101,85,85,1,F# minor,0.79,-4.341,0.336,0.191,0.0,0.18
Cudi Montage,KIDS SEE GHOSTS,197.0,0.729,0.305,20200623,69,69,1,G# minor,0.504,-6.784,0.0321,0.401,1.44e-06,0.121
Culo,Pitbull Featuring Lil Jon,219.08,0.858,0.969,20200904,74,32,20,F# minor,0.656,-4.96,0.358,0.114,0.0,0.141
Cult Of Personality,Living Colour,294.826,0.504,0.539,20190325,49,49,3,C major,0.918,-3.463,0.0517,0.00164,2.12e-05,0.78
Culture,Migos Featuring DJ Khaled,153.557,0.825,0.317,20200218,93,93,1,B minor,0.7,-5.098,0.243,0.0379,0.0,0.139
Cum On Feel The Noize,Quiet Riot,287.4,0.441,0.632,20191029,14,14,7,B minor,0.908,-4.627,0.115,0.000183,0.00328,0.0612
Cum On Feel The Noize,Quiet Riot,287.4,0.441,0.632,20191029,14,14,7,B minor,0.86,-4.574,0.0665,0.00155,0.68,0.154
Cumbersome,Seven Mary Three,236.973,0.543,0.339,20190511,66,39,17,B major,0.79,-5.932,0.0358,0.00811,0.0,0.238
Cupid Shuffle,Cupid,231.36,0.785,0.861,20200915,85,66,9,F minor,0.582,-4.877,0.237,0.191,0.0,0.2
Cupid,112,252.266,0.685,0.87,20190315,43,43,3,G# major,0.38,-11.219,0.112,0.373,0.0,0.0371
Cupid,112,252.266,0.685,0.87,20190315,43,43,3,G# major,0.25,-15.329,0.0406,0.673,0.0,0.687
Cupid,112,252.266,0.685,0.87,20190315,43,43,3,G# major,0.623,-6.321,0.0454,0.773,0.0,0.329
Cupid,112,252.266,0.685,0.87,20190315,43,43,3,G# major,0.393,-9.968,0.0348,0.843,0.0,0.168
Cupid,112,252.266,0.685,0.87,20190315,43,43,3,G# major,0.649,-15.516,0.0582,0.232,2.26e-06,0.136
Curly,Jimmy Clanton,165.093,0.514,0.65,20191122,97,97,2,F major,0.429,-11.564,0.0474,0.462,0.0,0.278
Curve,Gucci Mane Featuring The Weeknd,161.989,0.76,0.354,20201014,92,67,2,G# major,0.476,-8.103,0.241,0.294,0.0,0.1
Custom Machine,Bruce & Terry,97.573,0.417,0.961,20190222,96,96,1,G# major,0.84,-6.914,0.0489,0.449,0.0,0.334
Customer,Raheem DeVaughn,245.066,0.635,0.513,20200510,76,76,4,C# major,0.518,-7.131,0.0439,0.463,0.0,0.169
Cut It,O.T. Genasis Featuring Young Dolph,222.6,0.875,0.231,20200312,94,94,1,G major,0.673,-4.184,0.0932,0.135,0.0,0.292
Cutie Pie,One Way,328.893,0.878,0.958,20190529,88,88,1,D major,0.535,-10.128,0.056,0.114,8.45e-06,0.0419
Cuts Both Ways,Gloria Estefan,194.333,0.38,0.299,20190630,83,83,1,B major,0.309,-12.6,0.0329,0.649,0.0,0.0693
Cuts Like A Knife,Bryan Adams,319.8,0.47,0.604,20190806,15,15,9,G major,0.459,-17.319,0.0265,0.0242,3.37e-06,0.596
Cuts You Up,Peter Murphy,327.133,0.63,0.802,20190331,86,86,2,E minor,0.806,-10.728,0.0412,0.0228,0.00515,0.135
Cyanide,Metallica,399.546,0.313,0.497,20200920,50,50,1,B minor,0.993,-0.463,0.0751,0.000119,0.000335,0.303
Cycles,Frank Sinatra,190.373,0.477,0.319,20191207,29,23,9,C# major,0.144,-22.774,0.0382,0.9,0.000367,0.108
Cyclone,Baby Bash Featuring T-Pain,221.797,0.644,0.584,20201229,12,7,21,B major,0.725,-4.622,0.0701,0.0112,0.0,0.146
D'yer Mak'er,Led Zeppelin,262.748,0.525,0.556,20191229,20,20,11,A minor,0.929,-8.56,0.0784,0.262,2.9e-05,0.0754
D-I-V-O-R-C-E,Tammy Wynette,176.626,0.581,0.322,20190720,63,63,5,E major,0.282,-11.276,0.0266,0.788,4.91e-05,0.207
Da' Dip,Freak Nasty,237.0,0.953,0.723,20190329,22,19,13,G# major,0.428,-17.199,0.298,0.0079,0.0302,0.224
Da Doo Ron Ron,Shaun Cassidy,170.0,0.567,0.876,20190528,51,51,3,C major,0.585,-11.553,0.0363,0.107,0.0,0.11
Da Ya Think I'm Sexy?,Rod Stewart,331.333,0.715,0.852,20191230,40,40,2,D minor,0.689,-8.065,0.029,0.0143,0.000192,0.111
Daddy's Home,Chuck Jackson & Maxine Brown,142.346,0.544,0.4,20190506,91,91,1,A minor,0.179,-16.519,0.0331,0.731,8.91e-06,0.129
Daddy's Home,Chuck Jackson & Maxine Brown,142.346,0.544,0.4,20190506,91,91,1,A minor,0.375,-9.646,0.0521,0.905,0.0,0.322
Daddy's Home,Chuck Jackson & Maxine Brown,142.346,0.544,0.4,20190506,91,91,1,A minor,0.439,-8.39,0.0242,0.296,0.0,0.116
Daddy's Home,Chuck Jackson & Maxine Brown,142.346,0.544,0.4,20190506,91,91,1,A minor,0.123,-13.875,0.0366,0.939,8.58e-06,0.146
Daddy's Little Girl,Al Martino,152.666,0.348,0.339,20190318,42,42,8,G major,0.441,-11.981,0.0411,0.447,1.8e-06,0.124
Daddy's Little Man,O.C. Smith,234.093,0.392,0.456,20190913,41,41,3,C major,0.485,-12.101,0.0448,0.303,2.54e-05,0.0189
"Daddy Could Swear, I Declare",Gladys Knight And The Pips,225.146,0.838,0.887,20190714,24,19,12,A major,0.703,-12.205,0.0493,0.108,2.93e-05,0.0601
Daddy Don't You Walk So Fast,Wayne Newton,198.666,0.472,0.443,20190513,63,63,4,C major,0.503,-10.018,0.0272,0.467,0.0,0.155
Daddy Lessons,Beyonce,287.986,0.643,0.598,20200514,41,41,1,G major,0.503,-8.37,0.216,0.273,0.0,0.349
Daddy Sang Bass,Johnny Cash,140.44,0.681,0.677,20191228,64,64,1,E major,0.638,-7.818,0.0367,0.699,0.000629,0.0581
Daddy What If,Bobby Bare,186.133,0.54,0.509,20190119,69,69,3,A major,0.256,-17.044,0.059,0.905,0.0054,0.805
Daddy Won't Sell The Farm,Montgomery Gentry,258.64,0.697,0.697,20200408,96,79,6,G major,0.727,-7.043,0.0293,0.0113,2.42e-05,0.0573
Daddy,Blueface & Rich The Kid,151.146,0.869,0.479,20200810,89,89,1,B major,0.59,-8.214,0.257,0.07,0.0,0.236
Daddy,Blueface & Rich The Kid,151.146,0.869,0.479,20200810,89,89,1,B major,0.87,-3.287,0.128,0.0788,0.0,0.137
Daechwita,Agust D,225.668,0.65,0.223,20200606,76,76,1,G# major,0.827,-4.014,0.0599,0.0229,0.0,0.121
Daisies,Katy Perry,173.123,0.639,0.149,20200711,79,40,7,C# major,0.546,-5.382,0.0407,0.0837,0.0,0.122
Daisy Jane,America,186.466,0.52,0.282,20190906,24,24,8,C major,0.208,-17.092,0.0319,0.84,4.63e-06,0.0996
Daisy Mae,"Hamilton, Joe Frank & Reynolds",181.933,0.558,0.883,20190115,51,51,7,C major,0.699,-10.752,0.0332,0.355,0.0,0.0912
Damage,H.E.R.,223.414,0.646,0.18,20200109,78,70,3,C# major,0.696,-6.505,0.065,0.113,0.0,0.115
Damaged,Danity Kane,244.266,0.774,0.818,20200607,11,10,11,G# minor,0.653,-5.158,0.05,0.0912,0.0,0.151
Damaged,Danity Kane,244.266,0.774,0.818,20200607,11,10,11,G# minor,0.581,-7.1,0.0316,0.553,0.00111,0.254
Damaged,Danity Kane,244.266,0.774,0.818,20200607,11,10,11,G# minor,0.92,-5.013,0.0304,0.0262,5.08e-05,0.173
